timestamp_utc,upload_id,decision,predicted_code,predicted_species,true_code,true_species,notes
2026-05-17T12:21:07,1d16697b,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:42:45,370b96b9,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:42:46,370b96b9,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:42:48,370b96b9,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:42:50,370b96b9,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:42:56,370b96b9,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:21,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:21,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:21,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:22,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:22,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:22,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:22,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:22,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:22,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:23,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:23,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:23,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:23,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:23,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:23,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:24,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:24,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:24,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:24,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:24,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:24,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:24,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:25,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:25,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:25,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:25,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:25,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:25,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:26,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:26,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:26,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:26,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:26,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:26,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
2026-05-17T19:43:26,0faf7605,incorrect,AK,Falco_sparverius,,Elanoides_forficatus,
